iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ITA,Europe,Italy,2021-01-01,2107166.0,23477.0,13921.429,74159.0,555.0,465.571,35692.009,397.663,235.807,1256.134,9.401,7.886,1.09,2553.0,43.244,25375.0,429.812,1226.0,20.766,8998.0,152.412,26756131.0,157524.0,451.654,2.659,121634.0,2.053,0.1186,8.4,tests performed,51939.0,51939.0,,,11273.0,8950.0,0.09,0.09,,,152.0,8950.0,0.015,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-02,2129376.0,22210.0,14374.714,74621.0,462.0,466.0,36068.211,376.202,243.485,1263.96,7.826,7.893,1.06,2569.0,43.515,25517.0,432.217,1227.0,20.783,9265.0,156.934,26823305.0,67174.0,452.788,1.134,119578.0,2.019,0.1224,8.2,tests performed,91012.0,91012.0,,,39073.0,13970.0,0.15,0.15,,,237.0,13970.0,0.024,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-03,2141201.0,11825.0,14574.143,74985.0,364.0,479.714,36268.508,200.297,246.863,1270.126,6.166,8.126,1.06,2583.0,43.752,25658.0,434.605,1233.0,20.885,9277.0,157.137,26926279.0,102974.0,454.526,1.738,125735.0,2.122,0.1224,8.2,tests performed,126890.0,126890.0,,,35878.0,17100.0,0.21,0.21,,,290.0,17100.0,0.029,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,102036.91,15.58,17.4,1722.4229
ITA,Europe,Italy,2021-01-04,2155446.0,14245.0,15335.857,75332.0,347.0,486.714,36509.795,241.287,259.765,1276.003,5.878,8.244,1.07,2579.0,43.684,25896.0,438.637,1202.0,20.36,9348.0,158.34,27004272.0,77993.0,455.843,1.317,127065.0,2.145,0.1236,8.1,tests performed,196561.0,196561.0,9.0,,69671.0,26838.0,0.33,0.33,0.0,,455.0,26838.0,0.045,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-05,2166244.0,10798.0,15652.571,75680.0,348.0,472.857,36692.696,182.901,265.129,1281.898,5.895,8.009,1.08,2569.0,43.515,25964.0,439.788,1148.0,19.445,9403.0,159.272,27139378.0,135106.0,458.123,2.281,127974.0,2.16,0.1274,7.8,tests performed,276861.0,276861.0,11.0,,80300.0,38152.0,0.47,0.47,0.0,,646.0,38152.0,0.065,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-06,2181619.0,15375.0,16247.571,76329.0,649.0,471.429,36953.124,260.428,275.208,1292.891,10.993,7.985,1.08,2571.0,43.549,25745.0,436.079,1156.0,19.581,9280.0,157.188,27317974.0,178596.0,461.138,3.015,129339.0,2.183,0.1306,7.7,tests performed,342078.0,342078.0,13.0,,65217.0,46770.0,0.58,0.58,0.0,,792.0,46770.0,0.079,82.41,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-07,2201945.0,20326.0,16893.714,76877.0,548.0,467.571,37297.413,344.29,286.152,1302.173,9.282,7.92,1.06,2587.0,43.82,25878.0,438.332,1110.0,18.802,9318.0,157.832,27439249.0,121275.0,463.185,2.047,120092.0,2.027,0.1347,7.4,tests performed,434784.0,434784.0,15.0,,92706.0,56303.0,0.74,0.74,0.0,,954.0,56303.0,0.095,78.7,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-08,2220361.0,18416.0,16170.714,77291.0,414.0,447.429,37609.351,311.937,273.906,1309.185,7.012,7.579,1.06,2587.0,43.82,25900.0,438.704,1152.0,19.513,9635.0,163.201,27579516.0,140267.0,465.553,2.368,117626.0,1.986,0.1318,7.6,tests performed,531816.0,531816.0,15.0,,97032.0,68554.0,0.9,0.9,0.0,,1161.0,68554.0,0.116,78.7,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-09,2237890.0,17529.0,15502.0,77911.0,620.0,470.0,37906.264,296.913,262.579,1319.687,10.502,7.961,1.07,2593.0,43.921,25853.0,437.908,1201.0,20.343,9496.0,160.847,27751635.0,172119.0,468.458,2.905,132619.0,2.239,0.1257,8.0,tests performed,620126.0,620126.0,15.0,,88310.0,75588.0,1.05,1.05,0.0,,1280.0,75588.0,0.128,78.7,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-10,2257866.0,19976.0,16666.429,78394.0,483.0,487.0,38244.625,338.361,282.303,1327.869,8.181,8.249,1.06,2615.0,44.294,26042.0,441.11,1228.0,20.8,9434.0,159.797,27891393.0,139758.0,470.818,2.359,137873.0,2.327,0.1254,8.0,tests performed,681083.0,681083.0,15.0,,60957.0,79170.0,1.15,1.15,0.0,,1341.0,79170.0,0.134,78.7,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,103497.11,15.44,9.5,1747.0717
ITA,Europe,Italy,2021-01-11,2276491.0,18625.0,17292.143,78755.0,361.0,489.0,38560.103,315.478,292.901,1333.983,6.115,8.283,1.03,2642.0,44.751,26245.0,444.548,1260.0,21.342,9348.0,158.34,27983049.0,91656.0,472.365,1.547,139825.0,2.36,0.1254,8.0,tests performed,763314.0,763314.0,18.0,,82231.0,80965.0,1.29,1.29,0.0,,1371.0,80965.0,0.137,76.85,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-12,2289021.0,12530.0,17539.571,79203.0,448.0,503.286,38772.341,212.238,297.092,1341.572,7.588,8.525,0.98,2636.0,44.65,26348.0,446.293,1254.0,21.241,9190.0,155.664,28124690.0,141641.0,474.756,2.391,140759.0,2.376,0.1235,8.1,tests performed,846870.0,846870.0,18.0,,83556.0,81430.0,1.43,1.43,0.0,,1379.0,81430.0,0.138,76.85,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-13,2303263.0,14242.0,17377.714,79819.0,616.0,498.571,39013.578,241.237,294.351,1352.006,10.434,8.445,0.95,2579.0,43.684,26104.0,442.16,1236.0,20.936,9245.0,156.595,28300119.0,175429.0,477.717,2.961,140306.0,2.368,0.1192,8.4,tests performed,942391.0,942391.0,18.0,,95521.0,85759.0,1.6,1.6,0.0,,1453.0,85759.0,0.145,76.85,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-14,2319036.0,15773.0,16727.286,80326.0,507.0,492.714,39280.747,267.169,283.333,1360.593,8.588,8.346,0.92,2557.0,43.311,25667.0,434.758,1244.0,21.071,9124.0,154.546,28460704.0,160585.0,480.428,2.711,145922.0,2.463,0.1135,8.8,tests performed,1037034.0,1037034.0,18.0,,94643.0,86036.0,1.76,1.76,0.0,,1457.0,86036.0,0.146,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-15,2336279.0,17243.0,16559.714,80848.0,522.0,508.143,39572.816,292.069,280.495,1369.435,8.842,8.607,0.91,2522.0,42.719,25363.0,429.609,1213.0,20.546,8901.0,150.769,28734210.0,273506.0,485.045,4.617,164956.0,2.785,0.0992,10.1,tests performed,1128106.0,1128106.0,18.0,,91072.0,85184.0,1.91,1.91,0.0,,1443.0,85184.0,0.144,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-16,2352423.0,16144.0,16361.857,81325.0,477.0,487.714,39846.269,273.453,277.144,1377.515,8.08,8.261,0.9,2520.0,42.685,25304.0,428.609,1200.0,20.326,8823.0,149.447,28995614.0,261404.0,489.457,4.413,177711.0,3.0,0.0891,11.2,tests performed,1194263.0,1194263.0,18.0,,66157.0,82020.0,2.02,2.02,0.0,,1389.0,82020.0,0.139,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-17,2368733.0,16310.0,15838.143,81800.0,475.0,486.571,40122.534,276.265,268.273,1385.561,8.046,8.242,0.88,2503.0,42.397,25260.0,427.864,1143.0,19.361,8594.0,145.569,29206692.0,211078.0,493.02,3.563,187900.0,3.172,0.0797,12.6,tests performed,1231925.0,1228933.0,3010.0,,37662.0,78692.0,2.09,2.08,0.01,,1333.0,78264.0,0.133,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,104750.11,15.27,8.0,1768.2228
ITA,Europe,Italy,2021-01-18,2381277.0,12544.0,14969.429,82177.0,377.0,488.857,40335.01,212.475,253.558,1391.946,6.386,8.28,0.87,2544.0,43.091,25428.0,430.709,1117.0,18.92,8412.0,142.486,29365366.0,158674.0,495.699,2.678,197474.0,3.333,0.0731,13.7,tests performed,1276648.0,1268558.0,8108.0,,44723.0,73333.0,2.16,2.15,0.01,,1242.0,72178.0,0.122,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-19,2390102.0,8825.0,14440.143,82554.0,377.0,478.714,40484.491,149.481,244.593,1398.332,6.386,8.109,0.86,2487.0,42.126,25186.0,426.61,1097.0,18.581,8180.0,138.556,29619436.0,254070.0,499.988,4.289,213535.0,3.605,0.0651,15.4,tests performed,1310288.0,1300411.0,9895.0,,33640.0,66203.0,2.22,2.2,0.02,,1121.0,64792.0,0.11,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-20,2400598.0,10496.0,13905.0,83157.0,603.0,476.857,40662.276,177.785,235.528,1408.546,10.214,8.077,0.86,2461.0,41.685,24930.0,422.274,1084.0,18.361,7983.0,135.219,29899198.0,279762.0,504.71,4.722,228440.0,3.856,0.0595,16.8,tests performed,1341838.0,1327372.0,14484.0,,31550.0,57064.0,2.27,2.25,0.02,,967.0,54997.0,0.093,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-21,2414166.0,13568.0,13590.0,83681.0,524.0,479.286,40892.096,229.82,230.193,1417.422,8.876,8.118,0.86,2418.0,40.957,24463.0,414.364,1075.0,18.209,7836.0,132.729,30166765.0,267567.0,509.227,4.517,243723.0,4.114,0.0539,18.6,tests performed,1378457.0,1344109.0,34366.0,,36619.0,48775.0,2.33,2.28,0.06,,826.0,43868.0,0.074,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-22,2428221.0,14055.0,13134.571,84202.0,521.0,479.143,41130.166,238.069,222.479,1426.247,8.825,8.116,0.88,2390.0,40.483,24081.0,407.893,1063.0,18.006,7654.0,129.646,30431493.0,264728.0,513.696,4.469,242469.0,4.093,0.0527,19.0,tests performed,1405979.0,1357462.0,48535.0,,27522.0,39696.0,2.38,2.3,0.08,,672.0,32765.0,0.055,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-23,2441854.0,13633.0,12775.857,84674.0,472.0,478.429,41361.087,230.921,216.403,1434.242,7.995,8.104,0.89,2386.0,40.415,23789.0,402.947,1067.0,18.073,7453.0,126.242,30717824.0,286331.0,518.529,4.833,246030.0,4.153,0.0502,19.9,tests performed,1445381.0,1363659.0,81740.0,,39402.0,35874.0,2.45,2.31,0.14,,608.0,24199.0,0.041,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-24,2455185.0,13331.0,12350.286,85162.0,488.0,480.286,41586.892,225.806,209.194,1442.508,8.266,8.135,0.91,2400.0,40.652,23709.0,401.592,1063.0,18.006,7388.0,125.141,30934035.0,216211.0,522.179,3.65,246763.0,4.165,0.0495,20.2,tests performed,1479473.0,1367087.0,112404.0,,34092.0,35364.0,2.51,2.32,0.19,,599.0,19736.0,0.033,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,106512.91,15.19,11.41,1797.9795
ITA,Europe,Italy,2021-01-25,2466813.0,11628.0,12219.429,85461.0,299.0,469.143,41783.852,196.96,206.978,1447.572,5.065,7.947,0.93,2421.0,41.008,23845.0,403.896,1071.0,18.141,7402.0,125.378,31060966.0,126931.0,524.321,2.143,242229.0,4.089,0.0503,19.9,tests performed,1549265.0,1372337.0,176946.0,,69792.0,38945.0,2.62,2.32,0.3,,660.0,14826.0,0.025,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-26,2475372.0,8559.0,12181.429,85881.0,420.0,475.286,41928.828,144.976,206.334,1454.686,7.114,8.051,0.94,2372.0,40.178,23727.0,401.897,1057.0,17.904,7301.0,123.667,31317253.0,256287.0,528.648,4.326,242545.0,4.094,0.0503,19.9,tests performed,1630275.0,1377031.0,253262.0,,81010.0,45712.0,2.76,2.33,0.43,,774.0,10946.0,0.019,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-27,2485956.0,10584.0,12194.0,86422.0,541.0,466.429,42108.104,179.276,206.547,1463.85,9.164,7.901,0.95,2352.0,39.839,23513.0,398.272,1020.0,17.277,7145.0,121.025,31611023.0,293770.0,533.606,4.959,244546.0,4.128,0.0508,19.7,tests performed,1701623.0,1383687.0,317954.0,,71348.0,51398.0,2.88,2.34,0.54,,871.0,8045.0,0.014,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-28,2501147.0,15191.0,12425.857,86889.0,467.0,458.286,42365.415,257.311,210.474,1471.76,7.91,7.763,0.94,2288.0,38.755,23066.0,390.701,967.0,16.379,6985.0,118.315,31886602.0,275579.0,538.258,4.652,245691.0,4.147,0.0508,19.7,tests performed,1796116.0,1389141.0,406993.0,,94493.0,59666.0,3.04,2.35,0.69,,1011.0,6433.0,0.011,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-29,2515507.0,14360.0,12469.429,87381.0,492.0,454.143,42608.65,243.235,211.212,1480.094,8.334,7.692,0.94,2270.0,38.45,22667.0,383.943,971.0,16.447,6945.0,117.637,32155352.0,268750.0,542.795,4.537,246266.0,4.157,0.0506,19.8,tests performed,1895439.0,1394652.0,500805.0,,99323.0,69923.0,3.21,2.36,0.85,,1184.0,5313.0,0.009,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-30,2529070.0,13563.0,12459.429,87858.0,477.0,454.857,42838.386,229.735,211.043,1488.173,8.08,7.705,0.93,2218.0,37.569,22316.0,377.997,929.0,15.736,6847.0,115.977,32453362.0,298010.0,547.825,5.031,247934.0,4.185,0.0499,20.0,tests performed,1986353.0,1399225.0,587146.0,,90914.0,77282.0,3.36,2.37,0.99,,1309.0,5081.0,0.009,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2021-01-31,2541783.0,12713.0,12371.143,88279.0,421.0,445.286,43053.724,215.338,209.547,1495.305,7.131,7.542,0.94,2215.0,37.519,22311.0,377.913,906.0,15.346,6813.0,115.401,32666726.0,213364.0,551.427,3.602,247527.0,4.178,0.0498,20.1,tests performed,2046423.0,1402091.0,644350.0,,60070.0,80993.0,3.47,2.37,1.09,,1372.0,5001.0,0.008,74.07,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,107990.11,15.08,9.91,1822.9152
