iso_code,continent,location,date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,population,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
ITA,Europe,Italy,2023-01-01,25192831.0,24393.0,18904.0,184918.0,126.0,107.143,426726.114,413.178,320.203,3132.214,2.134,1.815,1.31,308.0,5.217,8281.0,140.267,234.0,3.964,3902.0,66.094,,,,,,,,,,144044775.0,50925390.0,47941428.0,47034832.0,73.0,11250.0,243.99,86.26,81.21,79.67,191.0,78.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,240269.31,12.42,11.61,4081.301
ITA,Europe,Italy,2023-01-02,25210071.0,17240.0,19084.857,184972.0,54.0,108.571,427018.132,292.018,323.267,3133.129,0.915,1.839,1.31,312.0,5.285,8409.0,142.435,230.0,3.896,4096.0,69.38,,,,,,,,,,144058135.0,50925459.0,47941474.0,47050758.0,13360.0,13086.0,244.01,86.26,81.21,79.7,222.0,88.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-03,25215501.0,5430.0,19213.714,185058.0,86.0,115.714,427110.107,91.975,325.449,3134.585,1.457,1.96,,319.0,5.403,8358.0,141.571,247.0,4.184,3992.0,67.618,,,,,,,,,,144080875.0,50925639.0,47941567.0,47077872.0,22740.0,14008.0,244.05,86.26,81.21,79.74,237.0,92.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-04,25242603.0,27102.0,21896.571,185198.0,140.0,124.857,427569.172,459.064,370.893,3136.957,2.371,2.115,,315.0,5.336,8287.0,140.368,252.0,4.268,3819.0,64.688,,,,,,,,,,144105150.0,50925798.0,47941676.0,47107046.0,24275.0,14750.0,244.09,86.26,81.21,79.79,250.0,97.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-05,25261808.0,19205.0,20388.571,185295.0,97.0,109.571,427894.474,325.302,345.35,3138.6,1.643,1.856,,319.0,5.403,8035.0,136.1,249.0,4.218,3686.0,62.435,,,,,,,,,,144126315.0,50925961.0,47941776.0,47132162.0,21165.0,14791.0,244.13,86.26,81.21,79.83,251.0,99.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-06,25279682.0,17874.0,19425.286,185417.0,122.0,110.714,428197.23,302.757,329.033,3140.666,2.066,1.875,,320.0,5.42,7652.0,129.613,247.0,4.184,3397.0,57.54,,,,,,,,,,144127106.0,50925965.0,47941776.0,47133074.0,791.0,12225.0,244.13,86.26,81.21,79.84,207.0,84.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-07,25296176.0,16494.0,18248.286,185488.0,71.0,99.429,428476.612,279.382,309.097,3141.869,1.203,1.684,,308.0,5.217,7615.0,128.986,215.0,3.642,3349.0,56.727,,,,,,,,,,144135453.0,50926065.0,47941827.0,47142875.0,8347.0,12964.0,244.14,86.26,81.21,79.85,220.0,97.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-08,25301143.0,4967.0,15473.143,185532.0,44.0,87.714,428560.745,84.133,262.09,3142.614,0.745,1.486,,308.0,5.217,7583.0,128.444,212.0,3.591,3277.0,55.507,,,,,,,,,,144136813.0,50926068.0,47941829.0,47144486.0,1360.0,13148.0,244.14,86.26,81.21,79.86,223.0,97.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,240325.11,12.33,0.36,4082.2488
ITA,Europe,Italy,2023-01-09,25314568.0,13425.0,14928.143,185585.0,53.0,87.571,428788.143,227.398,252.859,3143.512,0.898,1.483,,308.0,5.217,7553.0,127.936,213.0,3.608,3125.0,52.932,,,,,,,,,,144154153.0,50926210.0,47941952.0,47165676.0,17340.0,13717.0,244.17,86.26,81.21,79.89,232.0,107.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-10,25320188.0,5620.0,14955.286,185650.0,65.0,84.571,428883.337,95.194,253.319,3144.613,1.101,1.433,,303.0,5.132,7277.0,123.261,210.0,3.557,2988.0,50.612,,,,,,,,,,144177204.0,50926344.0,47942078.0,47193329.0,23051.0,13761.0,244.21,86.26,81.21,79.94,233.0,101.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-11,25340804.0,20616.0,14028.714,185800.0,150.0,86.0,429232.539,349.202,237.624,3147.154,2.541,1.457,,317.0,5.369,7039.0,119.229,209.0,3.54,2940.0,49.799,,,,,,,,,,144200492.0,50926556.0,47942198.0,47220921.0,23288.0,13620.0,244.25,86.26,81.21,79.98,231.0,108.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-12,25352924.0,12120.0,13016.571,185889.0,89.0,84.857,429437.832,205.293,220.48,3148.661,1.508,1.437,,310.0,5.251,6731.0,114.012,196.0,3.32,2813.0,47.648,,,,,,,,,,144224684.0,50926741.0,47942317.0,47249923.0,24192.0,14053.0,244.29,86.26,81.21,80.03,238.0,111.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-13,25363742.0,10818.0,12008.571,185993.0,104.0,82.286,429621.072,183.24,203.406,3150.423,1.762,1.394,,293.0,4.963,6413.0,108.626,190.0,3.218,2862.0,48.478,,,,,,,,,,144247521.0,50926903.0,47942420.0,47277293.0,22837.0,17202.0,244.33,86.26,81.21,80.08,291.0,134.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-14,25372824.0,9082.0,10949.714,186079.0,86.0,84.429,429774.906,153.835,185.471,3151.88,1.457,1.43,,287.0,4.861,6145.0,104.086,206.0,3.489,2778.0,47.055,,,,,,,,,,144260186.0,50927061.0,47942484.0,47292073.0,12665.0,17819.0,244.35,86.26,81.21,80.11,302.0,142.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-15,25380888.0,8064.0,11392.143,186158.0,79.0,89.429,429911.498,136.591,192.965,3153.218,1.338,1.515,,277.0,4.692,6045.0,102.393,200.0,3.388,2701.0,45.751,,,,,,,,,,144261132.0,50927064.0,47942485.0,47293223.0,946.0,17760.0,244.36,86.26,81.21,80.11,301.0,142.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,239727.7,12.2,-3.82,4072.101
ITA,Europe,Italy,2023-01-16,25386702.0,5814.0,10304.857,186187.0,29.0,86.0,430009.977,98.48,174.548,3153.709,0.491,1.457,,276.0,4.675,6010.0,101.8,199.0,3.371,2557.0,43.311,,,,,,,,,,144275551.0,50927157.0,47942519.0,47310671.0,14419.0,17343.0,244.38,86.26,81.21,80.14,294.0,135.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-17,25389740.0,3038.0,9936.0,186261.0,74.0,87.286,430061.436,51.459,168.3,3154.962,1.253,1.478,,263.0,4.455,5662.0,95.905,177.0,2.998,2399.0,40.635,,,,,,,,,,144292401.0,50927309.0,47942629.0,47331263.0,16850.0,16457.0,244.41,86.26,81.21,80.17,279.0,138.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
ITA,Europe,Italy,2023-01-18,25400959.0,11219.0,8593.571,186339.0,78.0,77.0,430251.468,190.032,145.561,3156.284,1.321,1.304,,237.0,4.014,5409.0,91.62,158.0,2.676,2273.0,38.501,,,,,,,,,,144310218.0,50927477.0,47942703.0,47353154.0,17817.0,15675.0,244.44,86.26,81.21,80.21,266.0,132.0,0.0,,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,59037472.0,,,,
