iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million	total_tests	new_tests	total_tests_per_thousand	new_tests_per_thousand	new_tests_smoothed	new_tests_smoothed_per_thousand	positive_rate	tests_per_case	tests_units	total_vaccinations	people_vaccinated	people_fully_vaccinated	total_boosters	new_vaccinations	new_vaccinations_smoothed	total_vaccinations_per_hundred	people_vaccinated_per_hundred	people_fully_vaccinated_per_hundred	total_boosters_per_hundred	new_vaccinations_smoothed_per_million	new_people_vaccinated_smoothed	new_people_vaccinated_smoothed_per_hundred	stringency_index	population_density	median_age	aged_65_older	aged_70_older	gdp_per_capita	extreme_poverty	cardiovasc_death_rate	diabetes_prevalence	female_smokers	male_smokers	handwashing_facilities	hospital_beds_per_thousand	life_expectancy	human_development_index	population	excess_mortality_cumulative_absolute	excess_mortality_cumulative	excess_mortality	excess_mortality_cumulative_per_million
FRA	Europe	France	01/01/2021	2338258.0	0.0	11984.0	63534.0	0.0	445.571	36.181.033	0.0	185.434	983.093	0.0	6.895	1.09	2609.0	38.473	24263.0	357.793	1173.0	17.298	7344.0	108.298	35914568.0	33230.0	532.683	0.493	257782.0	3.823	0.05	20.0	people tested	3826.0	3822.0	4.0		1201.0	642.0	0.01	0.01	0.0		9.0	641.0	0.001	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	02/01/2021	2338258.0	0.0	11984.0	63534.0	0.0	445.571	36.181.033	0.0	185.434	983.093	0.0	6.895	1.09	2632.0	38.813	24458.0	360.668	1173.0	17.298	7477.0	110.259	36144513.0	229945.0	536.094	3.411	258808.0	3.839	0.052	19.2	people tested	4200.0	4192.0	8.0		374.0	597.0	0.01	0.01	0.0		9.0	596.0	0.001	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	03/01/2021	2427206.0	88948.0	12.706.857	66449.0	2915.0	416.429	37557.37	1.376.337	196.62	1.028.199	45.105	6.444	1.1	2665.0	39.299	24780.0	365.417	1167.0	17.209	7545.0	111.262	36191680.0	47167.0	536.793	0.7	258688.0	3.837	0.052	19.2	people tested	4619.0	4611.0	8.0		419.0	572.0	0.01	0.01	0.0		8.0	571.0	0.001	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0	47.362.797	7.68	11.25	7.339.491
FRA	Europe	France	04/01/2021	2427206.0	0.0	12.706.857	66449.0	0.0	416.429	37557.37	0.0	196.62	1.028.199	0.0	6.444	1.12	2657.0	39.181	24962.0	368.101	1184.0	17.46	7590.0	111.925	36619264.0	427584.0	543.135	6.342	262958.0	3.9	0.054	18.5	people tested	6776.0	6763.0	13.0		2157.0	778.0	0.01	0.01	0.0		11.0	777.0	0.001	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	05/01/2021	2427206.0	0.0	12.706.857	66449.0	0.0	416.429	37557.37	0.0	196.62	1.028.199	0.0	6.444	1.14	2616.0	38.577	24871.0	366.759	1178.0	17.371	7710.0	113.695	36963435.0	344171.0	548.24	5.105	259828.0	3.854	0.056	17.9	people tested	14576.0	14557.0	19.0		7800.0	1837.0	0.02	0.02	0.0		27.0	1834.0	0.003	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	06/01/2021	2427206.0	0.0	12.706.857	66449.0	0.0	416.429	37557.37	0.0	196.62	1.028.199	0.0	6.444	1.15	2607.0	38.444	24708.0	364.355	1203.0	17.74	7744.0	114.196	37276400.0	312965.0	552.882	4.642	247461.0	3.67	0.059	16.9	people tested	27090.0	27048.0	42.0		12514.0	3560.0	0.04	0.04	0.0		52.0	3554.0	0.005	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	07/01/2021	2427206.0	0.0	12.706.857	66449.0	0.0	416.429	37557.37	0.0	196.62	1.028.199	0.0	6.444	1.14	2573.0	37.943	24488.0	361.111	1207.0	17.799	7868.0	116.025	37602985.0	326585.0	557.726	4.844	245950.0	3.648	0.061	16.4	people tested	56596.0	56529.0	67.0		29506.0	7710.0	0.08	0.08	0.0		114.0	7701.0	0.011	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	08/01/2021	2427206.0	0.0	12.706.857	66449.0	0.0	416.429	37557.37	0.0	196.62	1.028.199	0.0	6.444	1.14	2606.0	38.429	24377.0	359.474	1353.0	19.952	8636.0	127.35	37952950.0	349965.0	562.916	5.191	291197.0	4.319	0.061	16.4	people tested	93802.0	93699.0	103.0		37206.0	12854.0	0.14	0.14	0.0		190.0	12840.0	0.019	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	09/01/2021	2427206.0	0.0	12.706.857	66449.0	0.0	416.429	37557.37	0.0	196.62	1.028.199	0.0	6.444	1.14	2600.0	38.341	24240.0	357.454	1395.0	20.571	8934.0	131.745	38141778.0	188828.0	565.717	2.801	285324.0	4.232	0.061	16.4	people tested	105032.0	104920.0	112.0		11230.0	14405.0	0.15	0.15	0.0		212.0	14390.0	0.021	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0				
FRA	Europe	France	10/01/2021	2549469.0	122263.0	17.466.143	69878.0	3429.0	489.857	39.449.206	1.891.836	270.262	1.081.257	53.059	7.58	1.13	2620.0	38.636	24526.0	361.671	1412.0	20.822	9006.0	132.806	38184062.0	42284.0	566.344	0.627	284626.0	4.222	0.061	16.4	people tested	111057.0	110937.0	120.0		6025.0	15205.0	0.16	0.16	0.0		224.0	15189.0	0.022	63.89	122.578	42.0	19.718	13.079	38.605.671		86.06	4.77	30.1	35.6		5.98	82.66	0.901	67813000.0	48.203.598	7.64	6.08	7.469.784
