iso_code	continent	location	date	total_cases	new_cases	new_cases_smoothed	total_deaths	new_deaths	new_deaths_smoothed	total_cases_per_million	new_cases_per_million	new_cases_smoothed_per_million	total_deaths_per_million	new_deaths_per_million	new_deaths_smoothed_per_million	reproduction_rate	icu_patients	icu_patients_per_million	hosp_patients	hosp_patients_per_million	weekly_icu_admissions	weekly_icu_admissions_per_million	weekly_hosp_admissions	weekly_hosp_admissions_per_million
FRA	Europe	France	01/01/2023	38141254.0	151707.0	21.672.429	162475.0	808.0	115.429	590.178.655	2.347.438	335.348	2.514.057	12.503	1.786	0.75	1477.0	21.78	24157.0	356.23	754.0	11.119	7387.0	108.932
FRA	Europe	France	02/01/2023	38141254.0	0.0	21.672.429	162475.0	0.0	115.429	590.178.655	0.0	335.348	2.514.057	0.0	1.786	0.74	1465.0	21.604	24075.0	355.02	783.0	11.546	7561.0	111.498
FRA	Europe	France	03/01/2023	38141254.0	0.0	21.672.429	162475.0	0.0	115.429	590.178.655	0.0	335.348	2.514.057	0.0	1.786		1416.0	20.881	23516.0	346.777	738.0	10.883	6970.0	102.783
FRA	Europe	France	04/01/2023	38141254.0	0.0	21.672.429	162475.0	0.0	115.429	590.178.655	0.0	335.348	2.514.057	0.0	1.786		1389.0	20.483	23167.0	341.631	665.0	9.806	6450.0	95.115
FRA	Europe	France	05/01/2023	38141254.0	0.0	21.672.429	162475.0	0.0	115.429	590.178.655	0.0	335.348	2.514.057	0.0	1.786		1352.0	19.937	22664.0	334.213	676.0	9.969	6153.0	90.735
FRA	Europe	France	06/01/2023	38141254.0	0.0	21.672.429	162475.0	0.0	115.429	590.178.655	0.0	335.348	2.514.057	0.0	1.786		1341.0	19.775	22335.0	329.362	659.0	9.718	5941.0	87.609
FRA	Europe	France	07/01/2023	38141254.0	0.0	21.672.429	162475.0	0.0	115.429	590.178.655	0.0	335.348	2.514.057	0.0	1.786		1330.0	19.613	22129.0	326.324	653.0	9.629	5866.0	86.503
FRA	Europe	France	08/01/2023	38222083.0	80829.0	11547.0	163250.0	775.0	110.714	591.429.362	1.250.707	178.672	2.526.049	11.992	1.713		1331.0	19.628	22102.0	325.926	646.0	9.526	5806.0	85.618
FRA	Europe	France	09/01/2023	38222083.0	0.0	11547.0	163250.0	0.0	110.714	591.429.362	0.0	178.672	2.526.049	0.0	1.713		1267.0	18.684	21548.0	317.756	597.0	8.804	5180.0	76.387
FRA	Europe	France	10/01/2023	38222083.0	0.0	11547.0	163250.0	0.0	110.714	591.429.362	0.0	178.672	2.526.049	0.0	1.713		1242.0	18.315	21100.0	311.15	555.0	8.184	4761.0	70.208
FRA	Europe	France	11/01/2023	38222083.0	0.0	11547.0	163250.0	0.0	110.714	591.429.362	0.0	178.672	2.526.049	0.0	1.713		1235.0	18.212	20776.0	306.372	534.0	7.875	4441.0	65.489
FRA	Europe	France	12/01/2023	38222083.0	0.0	11547.0	163250.0	0.0	110.714	591.429.362	0.0	178.672	2.526.049	0.0	1.713		1233.0	18.182	20399.0	300.813	485.0	7.152	4146.0	61.139
FRA	Europe	France	13/01/2023	38222083.0	0.0	11547.0	163250.0	0.0	110.714	591.429.362	0.0	178.672	2.526.049	0.0	1.713		1227.0	18.094	20039.0	295.504	485.0	7.152	3851.0	56.789
